Airline,airline_historical_delay_rate
Alaska Airlines Inc.,0.1804232531795479
Allegiant Air,0.24911535739561216
American Airlines Inc.,0.194969951199637
American Eagle Airlines Inc.,0.17304229195088677
Delta Air Lines Inc,0.19415740603878043
Endeavor Air,0.15003236245954693
Frontier Airlines Inc.,0.3540692235734331
Hawaiian Airlines Inc.,0.1795646916565901
JetBlue Airways,0.25254591348246147
PSA Airlines,0.1208704253214639
Republic Airways,0.12308204083329868
Skywest Airlines Inc.,0.18708917276447973
Southwest Airlines Co.,0.21594693529298434
Spirit Air Lines,0.27819936293798014
United Air Lines Inc.,0.21446650743289009
